rk,player,nation,pos,squad,age,born_year,mp,starts,min,nineties,gls,ast,g_a,g_minus_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_a_per90,g_minus_pk_per90,g_a_minus_pk_per90,g_minus_pk_per90_calc,pk_per90,pkatt_per90,crdy_per90,crdr_per90
408,Brooks Lennon,us USA,DF,Columbus Crew,28.0,1997.0,2,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,Beau Leroux,us USA,MF,SJ Earthquakes,22.0,2003.0,18,17,1431,15.9,3,3,6,3,0,1,3,0,0.19,0.19,0.38,0.19,0.38,0.19,0.0,0.06,0.19,0.0
410,Robert Lewandowski,pl POL,FW,Chicago Fire,37.0,1988.0,4,3,255,2.8,2,0,2,2,0,0,1,0,0.71,0.0,0.71,0.71,0.71,0.71,0.0,0.0,0.35,0.0
411,Ondřej Lingr,cz CZE,FWMF,Houston,27.0,1998.0,17,4,421,4.7,0,1,1,0,0,0,0,1,0.0,0.21,0.21,0.0,0.21,0.0,0.0,0.0,0.0,0.21
412,Hugo Lloris,fr FRA,GK,LAFC,39.0,1986.0,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,Saba Lobzhanidze,ge GEO,FWMF,Atlanta Utd,31.0,1994.0,13,8,630,7.0,2,0,2,2,0,0,0,0,0.29,0.0,0.29,0.29,0.29,0.29,0.0,0.0,0.0,0.0
414,Saba Lobzhanidze,ge GEO,FWMF,Real Salt Lake,31.0,1994.0,4,0,106,1.2,0,2,2,0,0,0,0,0,0.0,1.7,1.7,0.0,1.7,0.0,0.0,0.0,0.0,0.0
415,Robin Lod,fi FIN,MFFW,Chicago Fire,33.0,1993.0,17,13,1132,12.6,4,1,5,4,0,0,2,0,0.32,0.08,0.4,0.32,0.4,0.32,0.0,0.0,0.16,0.0
416,Aaron Long,us USA,DF,LAFC,33.0,1992.0,7,7,532,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
417,Matthew Longstaff,eng ENG,MF,CF Montréal,26.0,2000.0,19,17,1469,16.3,2,3,5,2,0,0,4,0,0.12,0.18,0.31,0.12,0.31,0.12,0.0,0.0,0.25,0.0
418,Antino Lopez,us USA,DF,Seattle Sounders,24.0,2002.0,11,7,655,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0
419,Victor Loturi,ca CAN,MF,CF Montréal,25.0,2001.0,19,18,1553,17.3,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,0.06,0.0,0.0,0.17,0.0
420,Ricardo Louis,ht HAI,MF,FC Dallas,21.0,2004.0,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,Evan Louro,us USA,GK,FC Cincinnati,30.0,1996.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,Daniel Lovitz,us USA,DF,Nashville SC,34.0,1991.0,19,15,1381,15.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0
423,Eduard Löwen,de GER,MFFW,St. Louis City,29.0,1997.0,12,7,573,6.4,2,2,4,1,1,1,1,0,0.31,0.31,0.63,0.16,0.47,0.16,0.16,0.16,0.16,0.0
424,Hirving Lozano,mx MEX,FWMF,LA Galaxy,31.0,1995.0,1,0,26,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.46,0.0
425,Luighi,br BRA,FW,NYCFC,20.0,2006.0,1,1,66,0.7,1,0,1,0,1,1,1,0,1.36,0.0,1.36,0.0,0.0,0.0,1.36,1.36,1.36,0.0
426,Gonzalo Luján,ar ARG,DF,Inter Miami,25.0,2001.0,14,10,929,10.3,1,0,1,1,0,0,3,0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.29,0.0
427,Jovan Lukić,rs SRB,MF,Philadelphia,24.0,2002.0,18,16,1334,14.8,0,1,1,0,0,0,5,0,0.0,0.07,0.07,0.0,0.07,0.0,0.0,0.0,0.34,0.0
428,Diego Luna,us USA,MFFW,Real Salt Lake,22.0,2003.0,13,10,917,10.2,4,2,6,4,0,0,3,0,0.39,0.2,0.59,0.39,0.59,0.39,0.0,0.0,0.29,0.0
429,Benjamin Lundt,de GER,GK,St. Louis City,30.0,1995.0,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
430,Lukas MacNaughton,ca CAN,DF,St. Louis City,31.0,1995.0,16,8,808,9.0,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,0.11,0.0,0.0,0.11,0.0
431,Warren Madrigal,cr CRC,FWMF,Nashville SC,22.0,2004.0,15,10,833,9.3,5,2,7,5,0,0,0,0,0.54,0.22,0.76,0.54,0.76,0.54,0.0,0.0,0.0,0.0
432,Talles Magno,br BRA,FW,NYCFC,24.0,2002.0,14,2,388,4.3,2,1,3,2,0,0,1,0,0.46,0.23,0.7,0.46,0.7,0.46,0.0,0.0,0.23,0.0
433,Jack Maher,us USA,DF,Nashville SC,26.0,1999.0,8,6,543,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
434,Olwethu Makhanya,za RSA,DF,Philadelphia,22.0,2004.0,13,13,1169,13.0,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.08
435,Juan Manuel Sanabria,uy URU,MF,Real Salt Lake,26.0,2000.0,15,14,1254,13.9,1,4,5,1,0,0,2,0,0.07,0.29,0.36,0.07,0.36,0.07,0.0,0.0,0.14,0.0
436,Alexis Manyoma,co COL,MF,Colorado Rapids,23.0,2003.0,11,2,240,2.7,1,0,1,1,0,0,1,0,0.37,0.0,0.37,0.37,0.37,0.38,0.0,0.0,0.38,0.0
437,J.T. Marcinkowski,us USA,GK,LA Galaxy,29.0,1997.0,15,15,1350,15.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0
