,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
119,José Caicedo,co COL,MF,Portland Timbers,24-087,2002,12,8,612,6.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4b583a34
120,Marcus Caldeira,ca CAN,FW,Minnesota Utd,21-308,2004,2,0,12,0.1,0,1,1,0,0,0,0,0,0.00,7.50,7.50,0.00,7.50,Matches,f023a03c
121,Taylor Calheira,us USA,FW,Sporting KC,24-114,2002,11,3,292,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,682b151c
122,Noel Caliskan,de GER,MF,Real Salt Lake,25-354,2000,18,17,1546,17.2,0,2,2,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,6d526838
123,Drake Callender,us USA,GK,Minnesota Utd,28-315,1997,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c4d9567d
124,Rudy Camacho,fr FRA,DF,Columbus Crew,35-166,1991,18,17,1537,17.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,6ad16d47
125,Leonardo Campana,ec ECU,FW,NE Revolution,26-025,2000,2,1,109,1.2,1,0,1,1,0,0,0,0,0.83,0.00,0.83,0.83,0.83,Matches,bf9c0749
126,Reggie Cannon,us USA,DF,Colorado Rapids,28-068,1998,10,8,615,6.8,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches,ad9ffc7e
127,Capita,ao ANG,MFFW,Sporting KC,24-220,2002,12,11,825,9.2,2,1,3,2,0,0,4,0,0.22,0.11,0.33,0.22,0.33,Matches,13d5fc25
128,Christian Cappis,us USA,MF,FC Dallas,27-005,1999,19,13,1183,13.1,0,1,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,25ef5b47
