,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
445,Jahkeele Marshall-Rutty,ca CAN,DF,RB New York,22-063,2004,18,14,1232,13.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b9459f85
446,David Martínez,ve VEN,FWMF,LAFC,20-192,2006,18,11,957,10.6,6,0,6,6,0,0,2,0,0.56,0.00,0.56,0.56,0.56,Matches,52fe0ad4
447,Geiner Martínez,co COL,DF,Philadelphia,23-221,2003,7,4,458,5.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0c0b1959
448,Josef Martínez,ve VEN,FW,Columbus Crew,33-091,1993,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e73f0aa1
449,Thiago Martins,br BRA,DF,NYCFC,31-154,1995,17,17,1505,16.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4d6ec370
450,Joyeux Masanka Bungi,be BEL,DF,RB New York,19-206,2007,2,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7d70fe97
451,Alexandru Mățan,ro ROU,FWMF,St. Louis City,26-354,1999,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bd3bcc4
452,Jimmy Maurer,us USA,GK,Houston,37-308,1988,1,0,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ca1c6f3d
453,Eric Maxim Choupo-Moting,cm CMR,FW,RB New York,37-148,1989,11,1,188,2.1,2,0,2,1,1,1,0,0,0.96,0.00,0.96,0.48,0.48,Matches,0e6bc38c
454,Youssef Maziz,fr FRA,FWMF,Colorado Rapids,28-055,1998,1,0,35,0.4,0,1,1,0,0,0,0,0,0.00,2.57,2.57,0.00,2.57,Matches,514270e8
455,Olivier Mbaizo,cm CMR,DF,Philadelphia,29-003,1997,1,0,60,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6315619
456,Mbekezeli Mbokazi,za RSA,DF,Chicago Fire,20-333,2005,12,12,1048,11.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,13398d42
457,Kenji Mboma Dem,fr FRA,FWMF,FC Cincinnati,24-208,2002,16,11,854,9.5,4,1,5,4,0,0,0,0,0.42,0.11,0.53,0.42,0.53,Matches,18a1a530
458,Jack McGlynn,us USA,MF,Houston,23-042,2003,15,13,1099,12.2,2,5,7,2,0,0,2,0,0.16,0.41,0.57,0.16,0.57,Matches,e2b8c25c
459,Duncan McGuire,us USA,FW,Houston,25-194,2001,5,2,179,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e0d45022
460,Duncan McGuire,us USA,FW,Orlando City,25-194,2001,11,4,481,5.3,2,0,2,2,0,0,1,0,0.37,0.00,0.37,0.37,0.37,Matches,e0d45022
461,Brendan McSorley,us USA,FW,St. Louis City,24-198,2002,12,0,182,2.0,1,0,1,1,0,0,2,0,0.49,0.00,0.49,0.49,0.49,Matches,9a01d4ba
462,Christopher McVey,se SWE,DF,San Diego FC,29-128,1997,17,15,1329,14.8,1,0,1,1,0,0,7,2,0.07,0.00,0.07,0.07,0.07,Matches,149d8165
463,Adri Mehmeti,us USA,MF,RB New York,17-134,2009,18,18,1497,16.6,1,3,4,1,0,0,6,1,0.06,0.18,0.24,0.06,0.24,Matches,5178f39c
464,Brais Méndez,es ESP,FWMF,Columbus Crew,29-223,1997,2,0,75,0.8,1,0,1,1,0,0,0,0,1.20,0.00,1.20,1.20,1.20,Matches,c9e39d91
465,Lionel Messi,ar ARG,FWMF,Inter Miami,39-055,1987,16,15,1370,15.2,12,8,20,11,1,2,3,0,0.79,0.53,1.31,0.72,1.25,Matches,d70ce98e
466,Wyatt Meyer,us USA,DF,Sporting KC,25-219,2001,15,12,1112,12.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a1674d2a
467,Matt Miazga,us USA,DF,FC Cincinnati,31-030,1995,12,10,818,9.1,0,1,1,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches,9fc0f253
468,Micael,br BRA,DF,Inter Miami,26-006,2000,17,17,1530,17.0,1,0,1,1,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches,ea95d7a6
469,Novak Mićović,rs SRB,GK,LA Galaxy,24-297,2001,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,98cd66a3
470,Alex Mighten,eng ENG,FWMF,San Diego FC,24-129,2002,12,5,574,6.4,0,2,2,0,0,0,1,0,0.00,0.31,0.31,0.00,0.31,Matches,10ec4169
471,Djordje Mihailovic,us USA,MFFW,Toronto FC,27-281,1998,9,6,600,6.7,2,3,5,2,0,0,0,1,0.30,0.45,0.75,0.30,0.75,Matches,83cf9719
472,Enea Mihaj,al ALB,DF,Atlanta Utd,28-044,1998,17,15,1277,14.2,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,29c28f01
473,Harbor Miller,us USA,MFDF,LA Galaxy,19-058,2007,18,9,935,10.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4a5b1142
474,Jansen Miller,us USA,DF,Sporting KC,24-189,2002,9,5,498,5.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c2183cdd
475,Kamal Miller,ca CAN,DF,Portland Timbers,29-094,1997,15,12,1005,11.2,1,0,1,1,0,0,4,1,0.09,0.00,0.09,0.09,0.09,Matches,0646bd8a
476,Nolan Miller,us USA,DF,Orlando City,22-015,2004,5,4,328,3.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5b7585b3
477,Peyton Miller,us USA,FWMF,NE Revolution,18-283,2007,17,11,1079,12.0,4,1,5,4,0,0,1,0,0.33,0.08,0.42,0.33,0.42,Matches,6cb5be4f
478,Juan Mina,co COL,DF,RB New York,22-022,2004,5,1,185,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c0d7bb65
479,Georgi Minoungou,bf BFA,MF,Seattle Sounders,24-024,2002,3,2,150,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,574a5662
480,Georgi Minoungou,bf BFA,MFFW,Colorado Rapids,24-024,2002,13,9,881,9.8,0,2,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches,574a5662
481,Aleksei Miranchuk,ru RUS,MFFW,Atlanta Utd,30-305,1995,18,16,1446,16.1,5,5,10,5,0,0,1,0,0.31,0.31,0.62,0.31,0.62,Matches,a9aa0d1d
482,Roald Mitchell,tt TRI,MF,RB New York,23-217,2003,3,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,193b60a6
483,Shakur Mohammed,gh GHA,MF,Nashville SC,22-356,2003,9,5,395,4.4,3,0,3,3,0,0,2,0,0.68,0.00,0.68,0.68,0.68,Matches,85430bbc
484,Luca Moisa,us USA,MF,Real Salt Lake,18-120,2008,3,3,175,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9ca6f93c
485,Zane Monlouis,eng ENG,DF,Toronto FC,22-306,2003,16,10,955,10.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7745640e
486,Shaq Moore,us USA,DFMF,FC Dallas,29-289,1996,18,17,1567,17.4,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,3b9f859b
487,Felipe Mora,cl CHI,FWMF,Portland Timbers,33-016,1993,13,5,448,5.0,4,0,4,4,0,0,1,0,0.80,0.00,0.80,0.80,0.80,Matches,f4b0ea46
488,Efrain Morales,bo BOL,DF,CF Montréal,22-167,2004,14,12,1071,11.9,0,2,2,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,Matches,2fb02c65
489,Santi Morales,us USA,MF,Inter Miami,19-190,2007,1,1,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5a50abf2
490,Maximiliano Moralez,ar ARG,MF,NYCFC,39-172,1987,14,14,1124,12.5,1,6,7,0,1,1,1,0,0.08,0.48,0.56,0.00,0.48,Matches,f99f37fc
491,Steven Moreira,cv CPV,DF,Columbus Crew,32-005,1994,18,15,1378,15.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f10983ae
492,Santiago Moreno,co COL,MFFW,FC Dallas,26-119,2000,14,8,692,7.7,2,2,4,1,1,1,1,0,0.26,0.26,0.52,0.13,0.39,Matches,3261d0e4
493,Lewis Morgan,sct SCO,FW,San Diego FC,29-322,1996,11,5,415,4.6,0,2,2,0,0,0,1,0,0.00,0.43,0.43,0.00,0.43,Matches,b675e328
494,Jordan Morris,us USA,MFFW,Seattle Sounders,31-296,1994,11,7,587,6.5,1,2,3,1,0,0,0,0,0.15,0.31,0.46,0.15,0.46,Matches,bd298d0d
495,Moises Mosquera,co COL,DF,Sporting KC,25-086,2001,3,2,175,1.9,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,0057a058
496,Rafael Mosquera,pa PAN,FW,RB New York,21-086,2005,10,1,317,3.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,82f03f3d
497,Chris Mueller,us USA,FW,Chicago Fire,29-354,1996,5,1,94,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a5334099
498,Hany Mukhtar,de GER,FWMF,Nashville SC,31-150,1995,19,16,1522,16.9,8,4,12,8,0,0,2,0,0.47,0.24,0.71,0.47,0.71,Matches,87fe8526
499,Thomas Müller,de GER,MF,Vancouver,36-339,1989,15,12,1112,12.4,6,2,8,3,3,3,0,0,0.49,0.16,0.65,0.24,0.40,Matches,3c6089ab
500,Daniel Munie,us USA,DF,SJ Earthquakes,26-189,2000,18,18,1620,18.0,4,1,5,4,0,0,3,0,0.22,0.06,0.28,0.22,0.28,Matches,ce44f0de
501,Louis Munteanu,ro ROU,FW,D.C. United,24-063,2002,15,10,970,10.8,5,1,6,4,1,1,2,0,0.46,0.09,0.56,0.37,0.46,Matches,4692ecb3
502,Facundo Mura,ar ARG,DFMF,Inter Miami,27-148,1999,16,10,989,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5d16dfc2
503,Ian Murphy,us USA,DF,Colorado Rapids,26-214,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c6d233e3
504,Ian Murphy,us USA,DF,San Diego FC,26-214,2000,2,1,105,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c6d233e3
505,Max Murray,us USA,DF,NYCFC,24-132,2002,1,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a30fed59
506,Jacob Murrell,us USA,FW,D.C. United,22-143,2004,8,0,74,0.8,0,1,1,0,0,0,1,0,0.00,1.22,1.22,0.00,1.22,Matches,a1f61bdf
507,Petar Musa,hr CRO,FW,FC Dallas,28-167,1998,17,15,1333,14.8,14,2,16,12,2,2,1,0,0.95,0.14,1.08,0.81,0.95,Matches,4567a0b4
508,Daniel Musovski,mk MKD,FW,Seattle Sounders,30-261,1995,17,9,762,8.5,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches,925a2703
509,Alex Muyl,us USA,MF,Nashville SC,30-322,1995,17,8,711,7.9,0,1,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches,2c1025bf
510,Tristan Muyumba,fr FRA,MF,Atlanta Utd,29-164,1997,19,16,1433,15.9,3,0,3,3,0,0,3,0,0.19,0.00,0.19,0.19,0.19,Matches,bf7ba1d8
511,Andy Najar,hn HON,DF,Nashville SC,33-155,1993,16,12,1056,11.7,1,3,4,1,0,0,3,0,0.09,0.26,0.34,0.09,0.34,Matches,f8280175
512,Matheus Nascimento,br BRA,FW,LA Galaxy,22-168,2004,8,0,151,1.7,1,0,1,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches,e744c3de
513,Miguel Navarro,ve VEN,DF,Colorado Rapids,27-173,1999,14,9,934,10.4,0,1,1,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10,Matches,3fbff39a
514,Rafael Navarro,br BRA,FW,Colorado Rapids,26-126,2000,19,19,1703,18.9,10,3,13,8,2,2,5,0,0.53,0.16,0.69,0.42,0.58,Matches,4b5ab509
515,Philippe Ndinga,ga GAB,DF,Philadelphia,21-076,2005,6,3,221,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,aac8b194
516,Jalen Neal,us USA,DF,CF Montréal,22-359,2003,9,8,660,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ca1e91a1
517,Dylan Nealis,us USA,DF,RB New York,28-019,1998,16,16,1377,15.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,24f4dd87
518,Sean Nealis,us USA,DF,D.C. United,29-217,1997,7,3,254,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8c1b17b3
519,Franco Negri,ar ARG,DF,Houston,31-179,1995,8,5,378,4.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a61d2c1a
520,Jayden Nelson,ca CAN,MF,Austin FC,23-326,2002,12,6,478,5.3,2,0,2,2,0,0,2,0,0.38,0.00,0.38,0.38,0.38,Matches,92305a81
521,John Nelson,us USA,DF,LA Galaxy,28-038,1998,18,11,1137,12.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,df8c4d49
522,Jean-Claude Ngando,cm CMR,MF,Vancouver,26-271,1999,3,1,114,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a898dc13
523,Kenneth Nielsen,us USA,DF,LAFC,24-186,2002,5,2,169,1.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3bce0d23
524,Kimito Nono,jp JPN,MF,D.C. United,24-145,2002,1,1,79,0.9,0,1,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,Matches,b9616183
525,Nolan Norris,us USA,DF,FC Dallas,21-182,2005,15,13,1169,13.0,1,0,1,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches,3391e359
526,Obinna Nwobodo,ng NGA,MF,FC Cincinnati,29-262,1996,14,8,680,7.6,0,1,1,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,897c8066
527,Aiden O'Neill,au AUS,MF,NYCFC,28-045,1998,11,11,904,10.0,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,c7aee75b
528,Kevin O'Toole,ie IRL,DF,NYCFC,27-247,1998,11,10,931,10.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,72a0f655
529,Édier Ocampo,co COL,DF,Vancouver,22-319,2003,17,16,1358,15.1,1,0,1,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,a2484ef5
530,Agustin Ojeda,ar ARG,MFFW,NYCFC,22-060,2004,19,19,1522,16.9,5,4,9,5,0,0,1,0,0.30,0.24,0.53,0.30,0.53,Matches,0dfc20ce
531,Braian Ojeda,py PAR,MF,Orlando City,26-052,2000,18,18,1605,17.8,1,2,3,1,0,0,1,0,0.06,0.11,0.17,0.06,0.17,Matches,60953af0
532,Martín Ojeda,ar ARG,FWMF,Orlando City,27-264,1998,15,15,1313,14.6,11,0,11,8,3,3,1,0,0.75,0.00,0.75,0.55,0.55,Matches,016a7f95
533,Hamzat Ojediran,ng NGA,MF,Colorado Rapids,22-277,2003,17,16,1152,12.8,1,0,1,1,0,0,7,0,0.08,0.00,0.08,0.08,0.08,Matches,25124a21
534,Victor Olatunji,ng NGA,FW,Real Salt Lake,26-347,1999,15,2,324,3.6,1,0,1,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches,743ffce1
535,Salvador Olivas,us USA,FW,Philadelphia,20-038,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a7ef5ae
536,Cristiano Oliveira,us USA,MF,NE Revolution,18-141,2008,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c19a1f0f
537,Kwadwo Opoku,gh GHA,FW,CF Montréal,25-036,2001,5,0,103,1.1,1,0,1,1,0,0,0,0,0.87,0.00,0.87,0.87,0.87,Matches,226a288e
538,Nathan Ordaz,sv SLV,FW,D.C. United,22-218,2004,4,0,60,0.7,0,1,1,0,0,0,0,0,0.00,1.50,1.50,0.00,1.50,Matches,a9094a3d
539,Nathan Ordaz,sv SLV,FWMF,LAFC,22-218,2004,9,6,501,5.6,2,0,2,2,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches,a9094a3d
540,Sergio Oregel,us USA,MF,Chicago Fire,21-094,2005,3,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6c6ff09
541,Jaziel Orozco,us USA,DFMF,St. Louis City,22-077,2004,13,10,832,9.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,46af4656
542,Jonathan Osorio,ca CAN,MF,Toronto FC,34-067,1992,17,17,1530,17.0,0,3,3,0,0,0,7,0,0.00,0.18,0.18,0.00,0.18,Matches,70106ff6
543,Tomáš Ostrák,cz CZE,MF,St. Louis City,26-194,2000,3,0,25,0.3,1,0,1,1,0,0,0,0,3.60,0.00,3.60,3.60,3.60,Matches,3ba95f20
544,Luis Otávio,br BRA,MF,Orlando City,19-128,2007,14,7,632,7.0,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,1ffa6688
545,Javier Otero,ve VEN,GK,Orlando City,23-273,2002,2,1,162,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,67cbc8e7
546,Prince Owusu,gh GHA,FW,CF Montréal,29-223,1997,18,17,1444,16.0,11,6,17,6,5,5,6,0,0.69,0.37,1.06,0.37,0.75,Matches,8377ba6a
547,Woobens Pacius,ht HAI,FW,Nashville SC,25-099,2001,12,3,244,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,43cc460f
548,Devin Padelford,us USA,DFMF,Minnesota Utd,23-227,2003,15,5,606,6.7,1,1,2,1,0,0,0,0,0.15,0.15,0.30,0.15,0.30,Matches,004b090e
549,Joseph Paintsil,gh GHA,FWMF,LA Galaxy,28-198,1998,16,15,1272,14.1,4,2,6,4,0,0,2,0,0.28,0.14,0.42,0.28,0.42,Matches,88062e83
550,Jeison Palacios,co COL,DF,Nashville SC,32-151,1994,15,14,1247,13.9,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,44014034
551,Sergi Palencia,es ESP,DF,LAFC,30-148,1996,9,8,623,6.9,1,0,1,1,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,19f8e480
552,James Pantemis,ca CAN,GK,Portland Timbers,29-178,1997,19,19,1710,19.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,901408ac
553,Isaiah Parente,us USA,MF,LA Galaxy,26-155,2000,6,0,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6dbc74d6
554,Tim Parker,us USA,DF,RB New York,33-176,1993,8,4,434,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4988a44d
555,Keaton Parks,us USA,MF,NYCFC,29-012,1997,15,11,880,9.8,2,0,2,2,0,0,3,0,0.20,0.00,0.20,0.20,0.20,Matches,77986763
556,Marco Pašalić,hr CRO,MFFW,Orlando City,25-338,2000,11,8,687,7.6,2,0,2,2,0,0,3,0,0.26,0.00,0.26,0.26,0.26,Matches,1866b0f1
557,Pedrinho,br BRA,FW,Orlando City,20-051,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77022c3e
558,Peglow,br BRA,MF,D.C. United,24-223,2002,18,18,1508,16.8,1,3,4,1,0,0,4,0,0.06,0.18,0.24,0.06,0.24,Matches,8a861bc5
559,Amahl Pellegrino,no NOR,FWMF,San Diego FC,36-061,1990,12,8,678,7.5,2,1,3,2,0,0,0,1,0.27,0.13,0.40,0.27,0.40,Matches,9d9e69df
560,Matti Peltola,fi FIN,MF,D.C. United,24-046,2002,19,16,1501,16.7,1,0,1,1,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,7af31216
561,Andrés Perea,us USA,MF,NYCFC,25-277,2000,9,5,563,6.3,1,1,2,1,0,0,0,0,0.16,0.16,0.32,0.16,0.32,Matches,7e1dbecf
562,Daniel Pereira,ve VEN,MF,Austin FC,26-035,2000,8,4,366,4.1,0,1,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches,b8862e65
563,Daniel Pereira,ve VEN,MF,CF Montréal,26-035,2000,4,2,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b8862e65
564,Matheus Pereira,br BRA,MF,Toronto FC,25-240,2000,2,1,120,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ac903694
565,Joaquín Pereyra,ar ARG,FWMF,Minnesota Utd,27-260,1998,19,18,1637,18.2,2,6,8,2,0,0,3,0,0.11,0.33,0.44,0.11,0.44,Matches,98af660d
566,Miguel Perez,us USA,MF,St. Louis City,21-112,2005,10,3,264,2.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,61f7e18e
567,Nikola Petković,rs SRB,MF,Seattle Sounders,23-176,2003,4,2,134,1.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,6f546721
568,Luca Petrasso,ca CAN,DF,CF Montréal,26-063,2000,17,17,1524,16.9,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,fafeaf3d
569,Donavan Phillip,lc LCA,MF,Colorado Rapids,21-226,2005,2,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,769f3080
570,Hugo Picard,fr FRA,MFFW,Columbus Crew,23-101,2003,18,9,863,9.6,2,2,4,2,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matches,6d353bf4
571,Fafà Picault,ht HAI,FW,Atlanta Utd,35-176,1991,12,5,518,5.8,2,1,3,2,0,0,1,0,0.35,0.17,0.52,0.35,0.52,Matches,dbaa10c0
572,Kevin Pierre,us USA,MF,NYCFC,23-058,2003,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce2f490c
573,Neil Pierre,us USA,DF,Philadelphia,18-303,2007,4,3,305,3.4,2,0,2,2,0,0,0,0,0.59,0.00,0.59,0.59,0.59,Matches,b229cdc3
574,Samuel Piette,ca CAN,MF,CF Montréal,31-279,1994,13,8,621,6.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,bc33c73b
575,Ian Pilcher,us USA,DF,San Diego FC,23-150,2003,8,2,170,1.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,16151b25
576,Mauricio Pineda,us USA,MF,Chicago Fire,28-305,1997,13,5,517,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e0c17cde
577,Dániel Pintér,us USA,MFFW,Inter Miami,19-073,2007,9,2,284,3.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,93e4e1de
578,Ariath Piol,au AUS,FW,Real Salt Lake,21-311,2004,2,2,164,1.8,1,0,1,1,0,0,0,0,0.55,0.00,0.55,0.55,0.55,Matches,1c33e4ec
579,Gabriel Pirani,br BRA,MF,San Diego FC,24-128,2002,2,1,103,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,17205abf
580,Gabriel Pirani,br BRA,FWMF,D.C. United,24-128,2002,7,6,468,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,17205abf
581,Preston Plambeck,us USA,MF,Inter Miami,20-241,2005,6,0,81,0.9,1,0,1,1,0,0,0,0,1.11,0.00,1.11,1.11,1.11,Matches,72953e4e
582,Matt Polster,us USA,MFDF,NE Revolution,33-071,1993,14,12,889,9.9,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,d1d418f8
583,Dante Polvara,us USA,DF,St. Louis City,26-058,2000,19,19,1633,18.1,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,03748579
584,Célio Pompeu,br BRA,MF,St. Louis City,26-251,1999,3,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b7cc83e3
585,Ezequiel Ponce,ar ARG,FW,Houston,29-142,1997,17,13,1114,12.4,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,ccbbe661
586,Ryan Porteous,sct SCO,DF,LAFC,27-146,1999,18,16,1518,16.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,514725a0
587,Alvas Powell,jm JAM,DF,FC Cincinnati,32-031,1994,8,1,161,1.8,0,1,1,0,0,0,0,1,0.00,0.56,0.56,0.00,0.56,Matches,2f91124d
588,Owen Presthus,us USA,DF,Columbus Crew,20-178,2006,1,1,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e8572636
589,Ralph Priso-Mbongue,ca CAN,DF,Vancouver,24-016,2002,8,6,542,6.0,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,acb3e899
590,Andrew Privett,us USA,DF,Charlotte,26-016,2000,8,6,570,6.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4fd77159
591,John Pulskamp,us USA,GK,Sporting KC,25-121,2001,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b306c92
592,Troy Putt,nz NZL,FW,Minnesota Utd,19-325,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd542828
593,Przemysław Płacheta,pl POL,MF,Austin FC,28-148,1998,4,1,150,1.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3c33f9d9
594,Ahmed Qasem,iq IRQ,MFFW,Nashville SC,23-037,2003,18,11,931,10.3,1,1,2,1,0,0,3,0,0.10,0.10,0.19,0.10,0.19,Matches,27219ecb
595,Philip Quinton,us USA,DF,Real Salt Lake,26-275,1999,15,12,1126,12.5,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,ad411288
596,Viktor Radojevic,rs SRB,DF,Chicago Fire,22-035,2004,8,2,188,2.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8093ca99
